CO_ID,CL_ID,DATA_INT,QTD_TOTAL_ITENS,QTD_PRODUTOS_DIFERENTES,PRODUTOS,DATA_COMPRA,index,GENERO,ESTADO_CIVIL,NUMERO_FILHOS,SEGMENTO_ECONOMICO,MES_ANO
1298,406,2019-02-01,6,6,"['CONDICIONADOR', 'FIO DENTAL', 'RACAO UMIDA PARA GATOS', 'REQUEIJAO', 'REMOVEDOR', 'COGUMELOS']",2019-02-01,405,M,Divorciado,4,C,2019-02
1375,576,2019-02-01,39,36,"['ABACATE', 'ABACAXI', 'ARROZ INTEGRAL', 'ATUM', 'BANANA', 'BATATA', 'BISCOITO', 'LEITE CONDENSADO', 'OVOS', 'QUEIJO MUSSARELA', 'REFRIGERANTE LARANJA', 'CREME', 'ENXAGUANTE BUCAL', 'HASTES FLEXIVEIS', 'ALCOOL', 'AMACIANTE', 'LIMPADOR PERFUMADO', 'SABAO EM PO', 'RACAO SECA PARA GATOS', 'SALGADINHOS DE MILHO', 'SABONETE', 'SABAO', 'REPELENTE', 'QUEIJO DE CABRA', 'PRESUNTO COZIDO', 'PAPINHA INFANTIL', 'MAMAO PAPAYA', 'LIMPADOR PERFUMADO', 'LIMPADOR MULTIUSO', 'LATA DE ERVILHA', 'HIDRATANTE', 'COGUMELOS', 'BISCOITO', 'BIFE DE COXAO MOLE', 'BATATA DOCE', 'BANANA']",2019-02-01,575,M,Separado,0,B,2019-02
1433,652,2019-02-01,72,60,"['ARROZ INTEGRAL', 'BATATA', 'BIFE DE COXAO MOLE', 'BISCOITO', 'CEBOLA', 'DANETTE', 'HAMBUGUER', 'LINGUICA', 'MAMAO PAPAYA', 'MANGA', 'MORTADELA', 'PAPINHA INFANTIL', 'QUEIJO DE CABRA', 'REQUEIJAO', 'SALGADINHO', 'UVA', 'ENERGETICO', 'REFRIGERANTE LIMaO', 'ABSORVENTE', 'ENXAGUANTE BUCAL', 'FRALDA', 'LENCO UMEDECIDO', 'MODELADOR', 'REPELENTE', 'AMACIANTE', 'BALDE', 'DESENGORDURANTE', 'DETERGENTE', 'SABAO EM PO', 'VASSOURA', 'RACAO SECA PARA GATOS', 'TALCO', 'SNACKS', 'SABAO EM PO', 'REFRIGERANTE LARANJA', 'RACAO UMIDA PARA GATOS', 'RACAO UMIDA PARA CAES', 'RACAO SECA PARA GATOS', 'QUEIJO MUSSARELA', 'PRESUNTO COZIDO', 'PATE', 'PAO DE FORMA', 'MORDEDOR', 'MOLHO BARBECUE', 'MODELADOR', 'MAMAO PAPAYA', 'LUSTRA MOVEIS', 'LIMPADOR PERFUMADO', 'LIMAO', 'LENCO UMEDECIDO', 'KETCHUP', 'HAMBUGUER', 'GRANOLA', 'FIO DENTAL', 'ESCOVA DE DENTE', 'CORACAO DE FRANGO', 'CERA', 'BIFE DE COXAO MOLE', 'AZEITONA', 'ATUM']",2019-02-01,651,F,Solteiro,0,B,2019-02
1482,453,2019-02-01,54,49,"['ALMONDEGA', 'ARROZ', 'ATUM', 'AZEITE', 'CHA', 'HAMBUGUER', 'LATA DE MILHO', 'MAMAO', 'MOLHO BARBECUE', 'PALMITO', 'SALGADINHOS DE MILHO', 'ENERGETICO', 'CREME', 'ESCOVA DE DENTE', 'FIXADOR', 'HIDRATANTE', 'PRESERVATIVO', 'PROTETOR SOLAR', 'BALDE', 'CERA', 'INSETICIDA', 'ODORIZADOR', 'Sem Nome', 'REMOVEDOR', 'RACAO SECA PARA GATOS', 'RACAO UMIDA PARA GATOS', 'TALCO', 'SNACKS', 'SALGADINHOS DE MILHO', 'SABAO', 'REQUEIJAO', 'REPELENTE', 'REMOVEDOR', 'REFRIGERANTE LIMaO', 'REFRIGERANTE COLA', 'QUEIJO DE CABRA', 'PAPEL HIGIENICO', 'OVOS', 'MORDEDOR', 'MACARRAO INSTANTANEO', 'LINGUICA', 'LIMPADOR MULTIUSO', 'LIMPA VIDROS', 'GRANOLA', 'GEL', 'DANETTE', 'COPA SUINA', 'BANANA', 'AZEITONA']",2019-02-01,452,F,Casado ou União Estável,0,B,2019-02
1568,829,2019-02-01,37,36,"['AZEITE', 'BATATA', 'CAFE', 'CENOURA', 'LATA DE MILHO', 'PALMITO', 'PAO DE FORMA', 'QUEIJO MUSSARELA', 'REQUEIJAO', 'RICOTA', 'SALGADINHOS DE MILHO', 'UVA', 'REFRIGERANTE COLA', 'ESCOVA DE DENTE', 'HASTES FLEXIVEIS', 'PAPEL HIGIENICO', 'PASTA DE DENTE', 'SABONETE', 'TINTURAS', 'CERA', 'ODORIZADOR', 'UVA', 'TIRA LIMO', 'TINTURAS', 'SABAO', 'RICOTA', 'REMOVEDOR', 'REFRIGERANTE LARANJA', 'REFRIGERANTE COLA', 'QUEIJO MUSSARELA', 'PAPEL HIGIENICO', 'MORTADELA', 'INSETICIDA', 'FIXADOR', 'CORACAO DE FRANGO', 'BATATA']",2019-02-01,828,F,Separado,4,B,2019-02
1569,251,2019-02-01,15,15,"['COGUMELOS', 'FILE DE PEIXE', 'QUEIJO MUSSARELA', 'SNACKS', 'CONDICIONADOR', 'TALCO', 'SALGADINHO', 'REMOVEDOR', 'REFRIGERANTE OUTROS', 'RACAO SECA PARA CAES', 'PAO DE FORMA', 'GRANOLA', 'FEIJAO', 'DESENGORDURANTE', 'ATUM']",2019-02-01,250,F,Divorciado,0,C,2019-02
1637,397,2019-02-01,75,65,"['ABACATE', 'ALMONDEGA', 'BANANA', 'BATATA', 'BATATA DOCE', 'CAFE', 'COXA E SOBRECOXA DE FRANGO', 'DOCE', 'GRANOLA', 'KETCHUP', 'LATA DE MILHO', 'MACARRAO', 'PAO DE FORMA', 'PAPINHA INFANTIL', 'PRESUNTO COZIDO', 'RICOTA', 'SNACKS', 'TOMATE', 'REFRIGERANTE GUARANA', 'REFRIGERANTE LIMaO', 'CONDICIONADOR', 'CREME', 'ENXAGUANTE BUCAL', 'LENCO UMEDECIDO', 'PAPEL HIGIENICO', 'PASTA DE DENTE', 'PRESERVATIVO', 'ALCOOL', 'AMACIANTE', 'BALDE', 'DESINFETANTE', 'DETERGENTE', 'LIMPADOR PERFUMADO', 'LUSTRA MOVEIS', 'REMOVEDOR', 'VASSOURA', 'ALIMENTO PARA PASSARO', 'RACAO SECA PARA CAES', 'VASSOURA', 'TIRA MANCHA', 'SABONETE', 'SABAO EM PO', 'RICOTA', 'REMOVEDOR', 'REFRIGERANTE LIMaO', 'RACAO UMIDA PARA GATOS', 'RACAO SECA PARA CAES', 'QUEIJO MUSSARELA', 'QUEIJO DE CABRA', 'PAPINHA INFANTIL', 'OVOS', 'MOLHO BARBECUE', 'MAMAO PAPAYA', 'MACARRAO INSTANTANEO', 'LIMAO', 'LEITE CONDENSADO', 'HIDRATANTE', 'FIXADOR', 'ESCOVA DE DENTE', 'DETERGENTE', 'CORACAO DE FRANGO', 'CEBOLA', 'BALDE', 'ATUM', 'ARROZ']",2019-02-01,396,F,Casado ou União Estável,0,B,2019-02
1683,438,2019-02-01,85,76,"['MORDEDOR', 'ARROZ', 'ATUM', 'AZEITONA', 'BATATA', 'BATATA DOCE', 'BIFE DE COXAO MOLE', 'COGUMELOS', 'COXA E SOBRECOXA DE FRANGO', 'FEIJAO', 'GRANOLA', 'HAMBUGUER', 'KETCHUP', 'LATA DE ERVILHA', 'LEITE', 'LINGUICA', 'MAMAO', 'OVOS', 'PATE', 'PRESUNTO COZIDO', 'QUEIJO MUSSARELA', 'SALGADINHOS DE MILHO', 'SARDINHA', 'TOMATE', 'UVA', 'REFRIGERANTE LIMaO', 'ESCOVA DE DENTE', 'FIO DENTAL', 'GEL', 'HASTES FLEXIVEIS', 'PAPEL HIGIENICO', 'REPELENTE', 'SABONETE', 'TALCO', 'TINTURAS', 'AGUA SANITARIA', 'BALDE', 'CERA', 'ODORIZADOR', 'Sem Nome', 'SABAO EM PO', 'RACAO SECA PARA CAES', 'RACAO UMIDA PARA CAES', 'RACAO UMIDA PARA GATOS', 'UVA', 'TINTURAS', 'TALCO', 'SNACKS', 'SABAO EM PO', 'REQUEIJAO', 'REMOVEDOR', 'REFRIGERANTE OUTROS', 'REFRIGERANTE COLA', 'RACAO SECA PARA GATOS', 'QUEIJO MUSSARELA', 'PAPINHA INFANTIL', 'PAO DE FORMA', 'MOLHO BARBECUE', 'MODELADOR', 'MAMAO PAPAYA', 'LIMPADOR MULTIUSO', 'LIMPA VIDROS', 'LEITE', 'LATA DE ERVILHA', 'IOGURTE', 'FILE DE PEIXE', 'DESINFETANTE', 'DESENGORDURANTE', 'CREME', 'CORACAO DE FRANGO', 'CERA', 'BROCOLIS', 'BATATA DOCE', 'BATATA', 'ATUM', 'ARROZ INTEGRAL']",2019-02-01,437,F,Casado ou União Estável,0,B,2019-02
1768,69,2019-02-01,12,12,"['BANANA', 'LEITE CONDENSADO', 'QUEIJO DE CABRA', 'CERA', 'REFRIGERANTE COLA', 'PRESUNTO COZIDO', 'GRANOLA', 'FRALDA', 'DESENGORDURANTE', 'BANANA', 'AZEITONA', 'ALMONDEGA']",2019-02-01,68,M,Solteiro,3,A,2019-02
1793,608,2019-02-01,33,31,"['ARROZ INTEGRAL', 'AZEITE', 'BATATA', 'LATA DE MILHO', 'MACARRAO INSTANTANEO', 'RICOTA', 'TOMATE', 'PAPEL HIGIENICO', 'AGUA SANITARIA', 'BALDE', 'DETERGENTE', 'LIMPA VIDROS', 'Sem Nome', 'ALIMENTO PARA PASSARO', 'TOMATE', 'TALCO', 'SABONETE', 'RACAO UMIDA PARA GATOS', 'MORTADELA', 'LIMPADOR PERFUMADO', 'LIMPA VIDROS', 'LATA DE MILHO', 'INSETICIDA', 'DETERGENTE', 'DANETTE', 'CHUPETA', 'CHA', 'CERA', 'BATATA', 'AZEITONA', 'ARROZ INTEGRAL']",2019-02-01,607,F,Separado,0,C,2019-02
1850,423,2019-02-01,73,64,"['AZEITONA', 'BANANA', 'BATATA', 'CAFE', 'CENOURA', 'FILE DE PEIXE', 'LATA DE ERVILHA', 'LATA DE MILHO', 'LEITE CONDENSADO', 'MOLHO BARBECUE', 'MORTADELA', 'PALMITO', 'PRESUNTO COZIDO', 'SARDINHA', 'TOMATE', 'REFRIGERANTE COLA', 'ABSORVENTE', 'CONDICIONADOR', 'CREME', 'GEL', 'LENCO UMEDECIDO', 'SABONETE', 'TALCO', 'CERA', 'DETERGENTE', 'LIMPADOR MULTIUSO', 'ODORIZADOR', 'REMOVEDOR', 'RODO', 'RACAO SECA PARA CAES', 'TIRA LIMO', 'SALGADINHOS DE MILHO', 'SABAO EM PO', 'SABAO', 'RODO', 'REMOVEDOR', 'REFRIGERANTE OUTROS', 'RACAO UMIDA PARA CAES', 'PRESUNTO COZIDO', 'PRESUNTO COZIDO', 'MANGA', 'MAMAO', 'LIMPA VIDROS', 'LENCO UMEDECIDO', 'LEITE CONDENSADO', 'LATA DE ERVILHA', 'INSETICIDA', 'HIDRATANTE', 'GRANOLA', 'FRALDA', 'FIO DENTAL', 'ENXAGUANTE BUCAL', 'ENERGETICO', 'DOCE', 'DESENGORDURANTE', 'COXA E SOBRECOXA DE FRANGO', 'CORACAO DE FRANGO', 'COPA SUINA', 'CHUPETA', 'CERA', 'BALDE', 'AZEITE', 'ARROZ INTEGRAL', 'ARROZ']",2019-02-01,422,F,Viúvo,2,A,2019-02
1874,53,2019-02-01,70,61,"['CHUPETA', 'ARROZ', 'ARROZ INTEGRAL', 'ATUM', 'AZEITE', 'BISCOITO', 'CHA', 'COGUMELOS', 'DOCE', 'HAMBUGUER', 'KETCHUP', 'LEITE', 'LEITE CONDENSADO', 'MACARRAO', 'MACARRAO INSTANTANEO', 'PALMITO', 'PAPINHA INFANTIL', 'PATE', 'RICOTA', 'SARDINHA', 'REFRIGERANTE LARANJA', 'ESCOVA DE DENTE', 'HASTES FLEXIVEIS', 'HIDRATANTE', 'PASTA DE DENTE', 'PROTETOR SOLAR', 'REPELENTE', 'ALCOOL', 'CERA', 'DESENGORDURANTE', 'DETERGENTE', 'REMOVEDOR', 'VASSOURA', 'ALIMENTO PARA PASSARO', 'RACAO SECA PARA CAES', 'RACAO UMIDA PARA CAES', 'TINTURAS', 'SNACKS', 'SABONETE', 'REMOVEDOR', 'REFRIGERANTE LARANJA', 'REFRIGERANTE GUARANA', 'RACAO UMIDA PARA GATOS', 'PRESUNTO COZIDO', 'PRESERVATIVO', 'PAPEL HIGIENICO', 'MAMAO PAPAYA', 'MACARRAO INSTANTANEO', 'LUSTRA MOVEIS', 'LIMAO', 'LEITE CONDENSADO', 'HASTES FLEXIVEIS', 'GRANOLA', 'FIO DENTAL', 'CREME', 'CONDICIONADOR', 'CEBOLA', 'BROCOLIS', 'BALDE', 'AZEITE', 'ALMONDEGA']",2019-02-01,52,M,Casado ou União Estável,1,B,2019-02
1943,886,2019-02-01,12,12,"['ARROZ', 'CEBOLA', 'LATA DE ERVILHA', 'MORTADELA', 'QUEIJO DE CABRA', 'SNACKS', 'ESCOVA DE DENTE', 'OVOS', 'HASTES FLEXIVEIS', 'HAMBUGUER', 'FRALDA', 'COPA SUINA']",2019-02-01,885,F,Viúvo,1,B,2019-02
1954,624,2019-02-01,7,7,"['MANGA', 'REQUEIJAO', 'REFRIGERANTE LIMaO', 'ODORIZADOR', 'REMOVEDOR', 'REFRIGERANTE GUARANA', 'BROCOLIS']",2019-02-01,623,M,Solteiro,0,B,2019-02
1985,94,2019-02-01,1,1,['BATATA'],2019-02-01,93,M,Casado ou União Estável,2,C,2019-02
2058,428,2019-02-01,41,39,"['BIFE DE COXAO MOLE', 'DANETTE', 'LATA DE ERVILHA', 'LATA DE MILHO', 'PAPINHA INFANTIL', 'PRESUNTO COZIDO', 'QUEIJO DE CABRA', 'REFRIGERANTE OUTROS', 'FIO DENTAL', 'FIXADOR', 'FRALDA', 'HASTES FLEXIVEIS', 'PASTA DE DENTE', 'PROTETOR SOLAR', 'SABONETE', 'AMACIANTE', 'CERA', 'DESINFETANTE', 'ODORIZADOR', 'TIRA MANCHA', 'RACAO SECA PARA GATOS', 'TIRA LIMO', 'REFRIGERANTE LIMaO', 'REFRIGERANTE GUARANA', 'OVOS', 'ODORIZADOR', 'LIMPADOR PERFUMADO', 'LENCO UMEDECIDO', 'LATA DE MILHO', 'LATA DE ERVILHA', 'GRANOLA', 'FRALDA', 'ENXAGUANTE BUCAL', 'CREME', 'COXA E SOBRECOXA DE FRANGO', 'COPA SUINA', 'CONDICIONADOR', 'BANANA', 'AMACIANTE']",2019-02-01,427,F,Divorciado,0,A,2019-02
2112,72,2019-02-01,6,6,"['ACHOCOLATADO', 'DOCE', 'PROTETOR SOLAR', 'FIXADOR', 'BATATA DOCE', 'ARROZ INTEGRAL']",2019-02-01,71,F,Divorciado,0,A,2019-02
2151,493,2019-02-01,81,66,"['ABACAXI', 'ACHOCOLATADO', 'AZEITE', 'BANANA', 'BATATA', 'BIFE DE COXAO MOLE', 'BISCOITO', 'CAFE', 'DOCE', 'IOGURTE', 'LATA DE MILHO', 'LIMAO', 'MACARRAO', 'MAMAO PAPAYA', 'MAMAO', 'MOLHO BARBECUE', 'PALMITO', 'PAPINHA INFANTIL', 'PRESUNTO COZIDO', 'REQUEIJAO', 'SALGADINHO', 'SALGADINHOS DE MILHO', 'SNACKS', 'TOMATE', 'REFRIGERANTE COLA', 'ENXAGUANTE BUCAL', 'HASTES FLEXIVEIS', 'PROTETOR SOLAR', 'SHAMPOO', 'BALDE', 'DESINFETANTE', 'LIMPA VIDROS', 'LIMPADOR MULTIUSO', 'Sem Nome', 'TIRA MANCHA', 'ALIMENTO PARA PASSARO', 'RACAO SECA PARA GATOS', 'SALGADINHOS DE MILHO', 'SALGADINHO', 'SABAO', 'REQUEIJAO', 'REPELENTE', 'RACAO SECA PARA CAES', 'QUEIJO DE CABRA', 'PROTETOR SOLAR', 'PRESERVATIVO', 'PATE', 'PAO DE FORMA', 'MORTADELA', 'MOLHO BARBECUE', 'MACARRAO INSTANTANEO', 'LUSTRA MOVEIS', 'LIMPADOR PERFUMADO', 'LIMAO', 'LATA DE ERVILHA', 'GEL', 'FRALDA', 'ESCOVA DE DENTE', 'ENXAGUANTE BUCAL', 'DOCE', 'DESINFETANTE', 'COXA E SOBRECOXA DE FRANGO', 'COGUMELOS', 'BISCOITO', 'BATATA DOCE', 'AZEITE']",2019-02-01,492,M,Divorciado,4,B,2019-02
